"","actor_id","target_case","case","case_code","ascribed_power_norm","ascribed_power","bet","bet_norm","triangle_count_pos_norm","triangle_count_norm","triangle_count","triangle_count_pos","ego_inclusion","deg","deg_pos","deg_norm","type","type_reduced","all_na","achievement","top_target","bet_log","triangle_count_log","deg_log","ascribed_power_log","bet_zero","triangle_count_zero","ascribed_power_zero"
"27","actor 27","Profitabilitat_Forstwirtschaft_AA","Alte Aare","AA",1,0,0,1,1,1,0,0,NA,0,0,1,"Other","Other","no",NA,"Profitabilitat_Forstwirtschaft",0,0,-Inf,0,"zero","zero","zero"
"28","actor 28","Hochwasserschutz_AA","Alte Aare","AA",100,21,274.679927722851,85.5373282237372,14.2,90.3955223880597,121,6,4,6,6,14.2,"NGO_organization_association","NGO_organization_association","no",3,"Hochwasserschutz",4.44895286807829,4.50419473506589,1.79175946922805,4.60517018598809,"abovezero","abovezero","abovezero"
"29","actor 29","Biodiversitat_AA","Alte Aare","AA",24.5714285714286,5,2.85757575757576,1.87946659133433,1,6.91044776119403,8,0,3,0,0,1,"Municipality","Municipality","no",NA,"Biodiversitat",0.630988008569797,1.93303443469527,-Inf,3.20158432775814,"abovezero","abovezero","abovezero"
"30","actor 30","Profitabilitat_Forstwirtschaft_AA","Alte Aare","AA",1,0,2.36666666666667,1.72838113237764,1,3.95522388059702,4,0,NA,0,0,1,"NGO_organization_association","NGO_organization_association","no",3,"Profitabilitat_Forstwirtschaft",0.547185208780025,1.37503720659526,-Inf,0,"abovezero","abovezero","zero"
"31","actor 31","Hochwasserschutz_AA","Alte Aare","AA",1,0,10.1476134976135,4.12309727196718,1,2.47761194029851,2,0,NA,0,0,1,"Other","Other","no",3,"Hochwasserschutz",1.41660464596822,0.907295168965577,-Inf,0,"abovezero","abovezero","zero"
"32","actor 32","Hochwasserschutz_AA","Alte Aare","AA",95.2857142857143,20,321.672253144696,100,91.2,80.7910447761194,108,41,4,41,41,91.2,"Canton_BE","higher_admin","no",3,"Hochwasserschutz",4.60517018598809,4.39186612740601,3.71357206670431,4.55687989686031,"abovezero","abovezero","abovezero"
"33","actor 33","Hochwasserschutz_AA","Alte Aare","AA",85.8571428571428,18,0,1,100,100,134,45,4,45,45,100,"Canton_BE","higher_admin","no",3,"Hochwasserschutz",0,4.60517018598809,3.80666248977032,4.45268478547989,"zero","abovezero","abovezero"
"34","actor 34","Biodiversitat_RE","Reussebene","RE",14.5,3,11.668064855681,4.35691718968143,1,10.1666666666667,10,0,3,0,0,1,"Other","Other","no",3,"Biodiversitat",1.47176474068464,2.31911439494526,-Inf,2.67414864942653,"abovezero","abovezero","abovezero"
"35","actor 35","Biodiversitat_RE","Reussebene","RE",46,10,23.0673080961007,7.63649405666239,3.60526315789474,13.8333333333333,14,1,2,1,1,3.60526315789474,"NGO_organization_association","NGO_organization_association","no",3,"Biodiversitat",2.03293860474775,2.62708113856854,0,3.8286413964891,"abovezero","abovezero","abovezero"
"36","actor 36","Biodiversitat_RE","Reussebene","RE",50.5,11,56.7976692524209,17.3407621234177,3.60526315789474,21.1666666666667,22,1,3,1,1,3.60526315789474,"Canton_ZG","higher_admin","no",NA,"Biodiversitat",2.85305992214074,3.05242761723054,0,3.92197333628131,"abovezero","abovezero","abovezero"
